user_id,tweet_text,creation_date,user_location,user_follower,user_friends,sentiment_analysis_polarity,sentiment_analysis_subjectivity
629211586,@NDN_dosborn https://t.co/GTZtJnUOgd,2019-06-18 20:47:41,"Vieques, PR",669,440,0.0,0.0
3318066762,"RT @BernieSanders: Donald Trump is the most dangerous president in U.S. history. He is a racist, a sexist, a homophobe, a xenophobe and a r…",2019-06-18 20:47:41,"District Fédéral, Mexique",220,230,-0.04999999999999999,0.7
181140029,RT @xtrixcyclex: 👀 https://t.co/2FZJqSJNyn,2019-06-18 20:47:41,Citizen of America ,11305,10171,0.0,0.0
278350550,RT @gatewaypundit: DO IT!.....   🇺🇸🇺🇸🇺🇸   TRUMP: ICE Will Begin the Process of Removing MILLIONS of Illegal Aliens -- NEXT WEEK https://t.c…,2019-06-18 20:47:41,,539,395,-0.25,0.25
17602534,RT @sianoresist: This woman is a Trump supporter. She posted this tweet 2 days ago. Twitter has not made her remove it and she has not been…,2019-06-18 20:47:41,Boston,372,726,0.0,0.0
195931757,$650-mn exports of California almond growers hurt due to Indo-US trade tiff: https://t.co/EvWGGSRfc2 @SenFeinstein… https://t.co/ln4iBmQ2M0,2019-06-18 20:47:41,"Washington, DC",615,1921,-0.125,0.375
176789487,RT @Jamierodr14: AWESOME! Proud Boys member says he’s at Trump rally to protect Trump Supporters from Anti-Trump so they won’t be Harassed.…,2019-06-18 20:47:41,"Colorado Springs, CO",1327,1497,0.9,1.0
776080266498482176,"RT @vdare: Why not  ""conservative values"" like (1) immigration moratorium (2) a second Operation Wetback (3) End Birthright Citizenship (4)…",2019-06-18 20:47:41,United States,431,564,0.0,0.0
45491204,"RT @AOC: Mr. President, you’re from Queens. 

You may fool the rest of the country, but I’ll call your bluff any day of the week.

Opening…",2019-06-18 20:47:41,outskirts of Death City(DC),1355,3459,0.0,0.0
768847337984782337,"RT @charliekirk11: Instead of giving illegal aliens:

Amnesty

Healthcare

Social security

Medicaid

Welfare

Food stamps

And benefits

P…",2019-06-18 20:47:41,"New York, NY",173,383,-0.23333333333333334,0.2833333333333333
243517371,RT @actdottv: Teens in cages protested the Trump admin's family separation policy outside the U.N. https://t.co/Szdem7Gc9Y https://t.co/rf7…,2019-06-18 20:47:41,"Denver, CO",759,2148,0.0,0.05
214581968,RT @MiekeEoyang: I'm old enough to remember when the US brought enough pressure to bear to bring Iran to the table. We had allies with us.…,2019-06-18 20:47:41,,110,711,0.03333333333333333,0.39999999999999997
386251428,@charley_ck14 Why is  Bob Newhart wearing  Trump’s wig?,2019-06-18 20:47:41,"WORLD's Blueberry Capital, NJ",70,82,0.0,0.0
